COMPLEXID,the_geom,SAFTYPE,SEGMENTID,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
104,POINT (-73.92076007232487 40.69702807213476),,9004562,1,1015686,3,3325685,3,09/20/2012 12:00:00 AM +0000,09/20/2012 12:00:00 AM +0000,1,OTHER,,3099643,BUSHWICK II (A & C) BLDG 18
104,POINT (-73.91137365371556 40.68750624970189),,9003844,1,1015667,3,3326315,3,09/20/2012 12:00:00 AM +0000,09/20/2012 12:00:00 AM +0000,1,OTHER,,3104904,BUSHWICK II (A & C) BLDG 7
104,POINT (-73.91185889130124 40.68703318370655),,9003833,1,1015668,3,3326314,3,09/20/2012 12:00:00 AM +0000,09/20/2012 12:00:00 AM +0000,1,OTHER,,3104903,BUSHWICK II (A & C) BLDG 8
104,POINT (-73.92203744362999 40.69761333691512),,9004490,2,1015669,3,3325660,3,09/20/2012 12:00:00 AM +0000,09/20/2012 12:00:00 AM +0000,1,OTHER,,3312133,BUSHWICK II (A & C) BLDG 9
104,POINT (-73.92243426003954 40.6972064751739),,9004488,2,1015670,3,3325659,3,09/20/2012 12:00:00 AM +0000,09/20/2012 12:00:00 AM +0000,1,OTHER,,3099248,BUSHWICK II (A & C) BLDG 10
104,POINT (-73.92262037382463 40.6968479883484),,9004492,1,1015671,3,3325657,3,09/20/2012 12:00:00 AM +0000,09/20/2012 12:00:00 AM +0000,1,OTHER,,3099245,BUSHWICK II (A & C) BLDG 12
236,POINT (-73.98277438944073 40.59191027947743),X,9007009,1,7970,3,3322145,3,05/14/2009 12:00:00 AM +0000,10/19/2012 12:00:00 AM +0000,1,DCP,35895502,3244721,MARLBORO PROJECTS BUILDING 1
203,POINT (-73.93753546216954 40.79560900693286),X,9006115,2,8504,3,1081088,1,05/14/2009 12:00:00 AM +0000,02/12/2013 12:00:00 AM +0000,1,DCP,12395003,1042402,JEFFERSON PROJECTS BUILDING 2
414,POINT (-73.86477681071635 40.77064063308458),X,146635,2,17597,4,4439232,4,05/14/2009 12:00:00 AM +0000,10/11/2012 12:00:00 AM +0000,6,DoITT,49753003,0,LGA - US AIRWAYS TERMINAL
148,POINT (-73.87267420366689 40.66735162280699),X,9002850,2,1016054,3,3324200,3,10/04/2012 12:00:00 AM +0000,03/22/2013 12:00:00 AM +0000,1,OTHER,31178526,3133922,E NY CITY LINE HOUSES BLDG 24
133,POINT (-73.87286400690117 40.67029564808233),X,9002759,1,8511,3,3337037,3,05/14/2009 12:00:00 AM +0000,10/05/2012 12:00:00 AM +0000,1,DCP,33123809,3130290,CYPRESS HILLS HOUSES BLDG 8
148,POINT (-73.87319931258644 40.6680714429114),X,9003016,1,1016046,3,3324305,3,10/04/2012 12:00:00 AM +0000,03/22/2013 12:00:00 AM +0000,1,OTHER,31178514,3133562,EAST NYC LINE BUILDING 9
413,POINT (-73.78403332207134 40.65792986721222),X,170884,2,1016505,4,4542148,4,10/24/2012 12:00:00 AM +0000,11/01/2012 12:00:00 AM +0000,6,OTHER,49754075,0,JFK BUILDING 4
178,POINT (-73.99076236639354 40.572143298423),X,9001934,2,7479,3,3322052,3,05/14/2009 12:00:00 AM +0000,10/11/2012 12:00:00 AM +0000,1,DCP,34652002,3240723,HABER PROJECTS BUILDING 1
232,POINT (-73.95194397664899 40.69917471125287),X,261155,2,7626,3,3325580,3,05/14/2009 12:00:00 AM +0000,10/17/2012 12:00:00 AM +0000,1,DCP,35873511,3060177,MARCY HOUSES BUILDING 10
154,POINT (-73.98176092503012 40.698762631183946),X,9005049,1,13670,3,3325918,3,05/14/2009 12:00:00 AM +0000,10/05/2012 12:00:00 AM +0000,1,DCP,34023502,3000433,FARRAGUT HOUSES BLDG 1
236,POINT (-73.9791082100373 40.592506475329294),X,9000758,2,7480,3,3322195,3,05/14/2009 12:00:00 AM +0000,10/19/2012 12:00:00 AM +0000,1,DCP,35895516,3244762,MARLBORO PROJECTS BUILDING 15
0,POINT (-73.87779325177014 40.874348738438805),N,113630,1,16180,1,0,2,05/14/2009 12:00:00 AM +0000,03/13/2013 12:00:00 AM +0000,4,DPR,21287501,0,HENRY WHALEN PARK
272,POINT (-73.86549737818575 40.667734978432684),X,9009337,1,6967,3,3326209,3,05/14/2009 12:00:00 AM +0000,10/23/2012 12:00:00 AM +0000,1,DCP,37078010,3134009,PINK HOUSES BUILDING 9
232,POINT (-73.9519250674503 40.696523286435294),X,9000459,1,7545,3,3324241,3,05/14/2009 12:00:00 AM +0000,10/17/2012 12:00:00 AM +0000,1,DCP,35873526,3060629,MARCY PROJECTS BUILDING 25
232,POINT (-73.95036632575693 40.69669610570331),X,9000452,2,17736,3,3324238,3,05/14/2009 12:00:00 AM +0000,10/17/2012 12:00:00 AM +0000,1,DCP,35873520,3060626,MARCY HOUSES BUILDING 19
232,POINT (-73.95047055439402 40.698250170402424),,9007242,2,4452,2,3325586,3,05/14/2009 12:00:00 AM +0000,10/19/2012 12:00:00 AM +0000,5,DoITT,,5138451,MARCY CHILDREN'S CTR
198,POINT (-73.96490384574614 40.705141162238434),X,9004600,1,8371,3,3334990,3,05/14/2009 12:00:00 AM +0000,10/15/2012 12:00:00 AM +0000,1,DCP,35191002,3313583,INDEPENDENCE TOWERS BLDG 1
199,POINT (-73.97884521792918 40.69437899632221),X,9005071,2,19684,3,3345036,3,09/15/2008 12:00:00 AM +0000,10/15/2012 12:00:00 AM +0000,1,DCP,31175503,3073627,R INGERSOLL PROJECTS BLDG 17
272,POINT (-73.86531810603483 40.66689260955016),X,9009337,2,8018,3,3327760,3,05/14/2009 12:00:00 AM +0000,10/23/2012 12:00:00 AM +0000,1,DCP,37078016,3134284,PINK PROJECTS BUILDING 15
232,POINT (-73.95256724362238 40.696969354855646),X,9000440,2,7828,3,3324236,3,05/14/2009 12:00:00 AM +0000,10/17/2012 12:00:00 AM +0000,1,DCP,35873527,3312927,MARCY PROJECTS BUILDING 26
413,POINT (-73.78295185179627 40.65749595938494),X,170884,2,1016506,4,4542148,4,10/24/2012 12:00:00 AM +0000,11/01/2012 12:00:00 AM +0000,6,OTHER,49754074,0,JFK HANGAR 3
236,POINT (-73.98418863109357 40.5928981182063),X,9005599,1,13879,3,3322148,3,05/14/2009 12:00:00 AM +0000,10/19/2012 12:00:00 AM +0000,1,DCP,35895506,3244725,MARLBORO PROJECTS BUILDING 5
259,POINT (-73.93767006753376 40.595408050303085),X,9000666,1,8539,3,3345791,3,05/14/2009 12:00:00 AM +0000,10/19/2012 12:00:00 AM +0000,1,DCP,36703217,3255989,NOSTRAND PROJECTS BUILDING 16
173,POINT (-73.9877341036548 40.68357902895206),X,9004899,2,7560,3,3323300,3,05/14/2009 12:00:00 AM +0000,10/11/2012 12:00:00 AM +0000,1,DCP,34471009,3007730,GOWANUS HOUSES BUILDING 7
413,POINT (-73.78524252223579 40.65853284522387),X,170884,2,1016507,4,4542148,4,10/24/2012 12:00:00 AM +0000,11/01/2012 12:00:00 AM +0000,6,OTHER,49754076,0,JFK BUILDING 5
199,POINT (-73.9810379401871 40.69488741358432),X,24611,1,19698,3,3257043,3,09/15/2008 12:00:00 AM +0000,10/15/2012 12:00:00 AM +0000,1,DCP,31175517,3073928,R INGERSOLL PROJECTS BLDG 31
170,POINT (-73.9064288865316 40.67092643614283),X,112636,2,7837,3,3326948,3,05/14/2009 12:00:00 AM +0000,10/05/2012 12:00:00 AM +0000,1,DCP,34434003,3112434,GLENMORE PLAZA BUILDING 2
0,POINT (-73.96124085509238 40.6909234854136),X,30475,1,1015185,7,3395285,3,08/10/2012 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,OTHER,37215024,0,PRATT INSTITUTE CANNONEER CT
0,POINT (-73.96359133329352 40.69184020948737),X,108181,1,1015186,7,0,3,08/10/2012 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,OTHER,37215015,0,PRATT INST MAIN GATE SECURITY
0,POINT (-73.9638316083467 40.690517237099364),X,108181,2,1015187,7,0,3,08/10/2012 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,OTHER,37215025,0,PRATT INSTITUTE PANTAS SECURITY
286,POINT (-74.00170993224567 40.67554359549664),X,9006782,2,1015188,3,3339413,3,08/10/2012 12:00:00 AM +0000,11/07/2012 12:00:00 AM +0000,1,OTHER,31182018,3313693,RED HOOK E PROJECTS BLDG 28
0,POINT (-73.95006106823045 40.65772992262868),,28742,1,1015244,2,3107398,3,08/29/2012 12:00:00 AM +0000,08/29/2012 12:00:00 AM +0000,5,OTHER,,3144552,MARY BOBB LEARNING ACADEMY
265,POINT (-73.91910184778752 40.691601030086694),,9004022,1,1016484,3,3076429,3,10/22/2012 12:00:00 AM +0000,10/22/2012 12:00:00 AM +0000,5,OTHER,,3101558,PALMETTO GARDENS SENIOR CENTER
0,POINT (-73.94094789377573 40.78970254930055),,218491,2,3274,1,1052765,1,05/14/2009 12:00:00 AM +0000,07/17/2012 12:00:00 AM +0000,9,NYPD,,1042234,MACEDONIA GODS PENTECOSTAL CHURCH
413,POINT (-73.81234231181541 40.66164290653647),X,284201,1,1016751,4,4542301,4,11/02/2012 12:00:00 AM +0000,10/26/2015 12:00:00 AM +0000,6,OTHER,49754046,0,JFK BLDG 403
206,POINT (-73.94847814614342 40.79852077890345),,9003397,,4846,2,1083309,1,05/14/2009 12:00:00 AM +0000,02/13/2013 12:00:00 AM +0000,5,DoITT,,1040080,EAST CALVARY DAY CARE CENTER
0,POINT (-73.99093864629803 40.73199596183379),,32772,2,16341,1,1008997,1,05/14/2009 12:00:00 AM +0000,03/03/2015 12:00:00 AM +0000,9,EMS,,1011528,GRACE CHURCH
502,POINT (-74.11618908269926 40.6404120632432),X,251123,2,8676,2,5109858,5,05/14/2009 12:00:00 AM +0000,07/17/2012 12:00:00 AM +0000,1,DCP,53831705,5006130,MARKHAM GARDENS BUILDING 4
0,POINT (-73.98514359044151 40.73379398542359),,33130,2,14932,6,1082121,1,05/14/2009 12:00:00 AM +0000,03/03/2015 12:00:00 AM +0000,9,NYPD,,1021610,RELIGIOUS FRIENDS SOCIETY
0,POINT (-74.00670469026792 40.73261363144939),,31963,1,11917,4,1067305,1,05/14/2009 12:00:00 AM +0000,03/03/2015 12:00:00 AM +0000,2,NYPD,,1013258,ST LUKES SCHOOL
0,POINT (-73.93656851145036 40.83913811877296),,70885,,17107,2,1081842,1,05/14/2009 12:00:00 AM +0000,07/17/2012 12:00:00 AM +0000,5,DoITT,,0,CHILDREN'S AID SOCIETY AT PS.8 HS
0,POINT (-73.97274255130549 40.75553752799668),,35973,2,16236,4,1036232,1,05/14/2009 12:00:00 AM +0000,01/06/2014 12:00:00 AM +0000,7,NYPD,,1031254,MARRIOTT HOTEL EAST SIDE
0,POINT (-73.99488549017313 40.71953400846549),,32507,1,2571,4,1006944,1,05/14/2009 12:00:00 AM +0000,01/06/2014 12:00:00 AM +0000,7,NYPD,,1059729,SOHOTEL
413,POINT (-73.79570662436095 40.66268537875961),X,58753,2,1016546,4,4542171,4,10/25/2012 12:00:00 AM +0000,11/02/2012 12:00:00 AM +0000,6,OTHER,49754067,0,JFK BLDG 87
0,POINT (-73.99140099698921 40.640272351701526),,21259,1,1025726,17,3135866,3,01/14/2015 12:00:00 AM +0000,01/14/2015 12:00:00 AM +0000,2,OTHER,,3177735,BAIS YAAKOV DKHAL ADAS YEREIM SCHOOL 43 ST
0,POINT (-73.99788644810243 40.62915024931622),,19941,1,4568,3,3141065,3,05/14/2009 12:00:00 AM +0000,03/02/2015 12:00:00 AM +0000,5,DoITT,,3183689,AMICO 59TH STREET SENIOR CENTER
0,POINT (-73.96078068350174 40.60991531811848),,26964,2,12051,1,3182327,3,05/14/2009 12:00:00 AM +0000,03/02/2015 12:00:00 AM +0000,13,EMS,,9201869,KINGS HIGHWAY JEWISH CENTER
0,POINT (-73.98320141249326 40.610138834833975),,20352,2,10315,2,3174150,3,05/14/2009 12:00:00 AM +0000,03/02/2015 12:00:00 AM +0000,9,NYPD,,3221722,BNAI ISAAC CONGREGATION
54,POINT (-73.9061018421818 40.81694584652867),X,263484,2,8565,3,2091977,2,05/14/2009 12:00:00 AM +0000,07/18/2012 12:00:00 AM +0000,1,DCP,24497004,2008840,ADAMS PROJECTS BUILDING 3
54,POINT (-73.90638766681158 40.81667403526928),G,263484,1,14445,3,0,2,05/14/2009 12:00:00 AM +0000,07/18/2012 12:00:00 AM +0000,1,NYCHA,24497001,0,JOHN ADAMS PROJECTS COMPLEX
0,POINT (-73.96812074744713 40.70705570949849),,30385,1,1020944,4,3059801,3,07/10/2013 12:00:00 AM +0000,03/02/2015 12:00:00 AM +0000,2,OTHER,,3076037,BEIKVEI HATZOIN SCHOOL
510,POINT (-73.94994673103562 40.72019260241487),X,257805,2,18605,10,3067525,3,05/14/2009 12:00:00 AM +0000,07/18/2012 12:00:00 AM +0000,4,DCP,31147003,3087334,MACCARREN PARK BATHHOUSE
510,POINT (-73.94991638362602 40.720014032759615),X,257805,2,14415,1,3067525,3,05/14/2009 12:00:00 AM +0000,07/18/2012 12:00:00 AM +0000,4,DCP,31147002,3087334,MCCARREN PARK PLAY CENTER
413,POINT (-73.78126216665414 40.64248155243185),X,261392,2,1016525,4,4542152,4,10/24/2012 12:00:00 AM +0000,11/02/2012 12:00:00 AM +0000,6,OTHER,49754073,0,KENNEDY AIRPORT CONTROL TOWER
0,POINT (-73.9581122828378 40.77484433631636),X,37546,1,1023627,7,1047497,1,12/06/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,OTHER,12323010,0,HUNTER COLL CHANCELLORS BLDG
0,POINT (-73.96764832652156 40.76711849497703),X,165498,1,1023628,7,1041133,1,12/06/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,OTHER,12323011,0,HUNTER COLLEGE ROOSEVELT HOUSE
0,POINT (-73.99519041718655 40.75841474028026),X,33747,1,1023629,7,1026319,1,12/06/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,OTHER,12323012,0,HUNTER COLL FINE ARTS BUILDING
0,POINT (-73.95115309690821 40.806174010020094),,166442,2,1023644,12,0,1,12/09/2013 12:00:00 AM +0000,12/09/2013 12:00:00 AM +0000,4,OTHER,,0,PS 76 GARDEN
0,POINT (-73.78678194845071 40.69706793190792),,60517,1,1023666,2,4216655,4,12/10/2013 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,241543,THE EMERSON SCHOOL
0,POINT (-73.74309491926567 40.67274646274393),,63559,2,1023667,2,4283015,4,12/10/2013 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,314206,QUEENS UNITED MIDDLE SCHOOL
0,POINT (-73.81674112980818 40.67542160529517),,55129,2,1023668,2,4253607,4,12/10/2013 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,280968,HAWTREE CREEK MIDDLE SCHOOL
0,POINT (-73.80326673823457 40.706649416749094),N,57271,1,1023669,9,4594831,4,12/10/2013 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,40018401,5158772,P S 182
0,POINT (-73.8590135172416 40.757666834385844),,83558,2,1023670,1,4540038,4,12/10/2013 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,5158770,PS 330
0,POINT (-73.87198550264087 40.761702290654995),,113442,1,1023671,1,4437125,4,12/10/2013 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,37427,EAST ELMHURST COMMUNITY SCHOOL
0,POINT (-73.78318293921966 40.67504831876487),,59184,2,1023684,3,4265978,4,12/11/2013 12:00:00 AM +0000,11/24/2014 12:00:00 AM +0000,2,DOE,,294697,VOYAGES PREPARATORY HIGH SCHOOL SOUTH QUEENS
0,POINT (-73.96204076099818 40.70734411283398),,109318,2,1025721,6,3059877,3,01/14/2015 12:00:00 AM +0000,03/02/2015 12:00:00 AM +0000,2,OTHER,,3076244,YESHIVA AHAVAS ISRAEL BOYS SCHOOL
0,POINT (-73.97928706874778 40.63962107902362),,280976,2,1025722,4,3125932,3,01/14/2015 12:00:00 AM +0000,01/14/2015 12:00:00 AM +0000,2,OTHER,,3166614,BNOS YERUSHALAYIM DCHASIDEI BELZ SCHOOL
0,POINT (-73.98051931967838 40.61106544999738),,20478,2,1025723,6,3173333,3,01/14/2015 12:00:00 AM +0000,01/14/2015 12:00:00 AM +0000,2,OTHER,,3220822,MERKAZ BNOS HIGH SCHOOL
0,POINT (-73.97924673980235 40.63378810565388),,21428,1,1025724,6,3126488,3,01/14/2015 12:00:00 AM +0000,01/14/2015 12:00:00 AM +0000,2,OTHER,,3167234,SHALSHELES BAIS YAAKOV SCHOOL
0,POINT (-73.9560106219593 40.700587157333594),,30863,2,1025725,6,3335347,3,01/14/2015 12:00:00 AM +0000,01/14/2015 12:00:00 AM +0000,2,OTHER,,3077979,YESHIVA & MESIVTA ARUGATH HABOSEM SCHOOL
0,POINT (-73.72404457997732 40.75235966163569),,103014,2,1025728,4,4534373,4,01/14/2015 12:00:00 AM +0000,01/14/2015 12:00:00 AM +0000,2,OTHER,,9103144,YESHIVA HAR TORAH SCHOOL
0,POINT (-73.96385052573537 40.61632910658237),,26978,2,1025729,4,3173152,3,01/14/2015 12:00:00 AM +0000,01/14/2015 12:00:00 AM +0000,2,OTHER,,3220609,SHAARE TORAH BOYS ELEMENTARY SCHOOL
413,POINT (-73.7958140520465 40.65358347992433),X,58298,2,1016526,4,4542155,4,10/24/2012 12:00:00 AM +0000,11/01/2012 12:00:00 AM +0000,6,OTHER,49754064,0,JFK BLDG 83
82,POINT (-73.91811767860271 40.81114213149114),X,9006191,2,1008709,3,2000433,2,10/05/2011 12:00:00 AM +0000,02/21/2013 12:00:00 AM +0000,1,OTHER,25265510,2101661,BETANCES IV HOUSES BUILDING 1
0,POINT (-73.75025198385954 40.73487596420592),,156067,2,1027456,1,4164905,4,03/04/2016 12:00:00 AM +0000,04/20/2017 12:00:00 AM +0000,9,OTHER,,181537,EBENEZER MISSION CHURCH
0,POINT (-73.87932779848626 40.8771620026159),N,188251,1,349,1,0,2,05/14/2009 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,4,DPR,21300501,0,VARIAN PARK
360,POINT (-73.9472737736221 40.78723868541554),N,9004924,1,37,9,0,1,05/14/2009 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,4,DoITT,10029201,0,CHERRY TREE PARK
3179,POINT (-73.89540892814564 40.84281683999032),,9000325,2,1002333,1,0,2,09/07/2010 12:00:00 AM +0000,04/28/2017 12:00:00 AM +0000,4,OTHER,,0,CROTONA PR AREA N
271,POINT (-73.88798653629837 40.65660045322061),G,9005794,1,18351,3,0,3,05/14/2009 12:00:00 AM +0000,07/18/2012 12:00:00 AM +0000,1,DCP,37034001,0,WORTMAN HOUSES
3352,POINT (-73.94695877262285 40.85024946619934),N,242294,1,1026748,1,0,1,08/25/2015 12:00:00 AM +0000,08/25/2015 12:00:00 AM +0000,4,OTHER,11390501,0,JEFFREY'S HOOK LIGHTHOUSE
0,POINT (-74.17777214734659 40.530917774662264),,3142,2,896,10,5133519,5,05/14/2009 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,4,DPR,,5106981,BLUE HERON PARK NATURE CENTER
413,POINT (-73.80499113083093 40.664123590113334),X,118889,1,1016548,4,4542174,4,10/25/2012 12:00:00 AM +0000,10/23/2015 12:00:00 AM +0000,6,OTHER,49754019,0,JFK BLDG 144
413,POINT (-73.78210647437662 40.64359516323472),X,136981,2,1016551,4,4542179,4,10/25/2012 12:00:00 AM +0000,11/02/2012 12:00:00 AM +0000,6,OTHER,49754080,0,JFK TERMINAL 4
0,POINT (-73.86101673021763 40.88576586850577),,131397,1,1027459,1,2063318,2,03/07/2016 12:00:00 AM +0000,03/07/2016 12:00:00 AM +0000,9,OTHER,,2070476,UNITED CHRISTIAN BAPTIST CHURCH
0,POINT (-73.82488696170928 40.76288675361685),,91330,1,6049,2,4113403,4,05/14/2009 12:00:00 AM +0000,03/17/2016 12:00:00 AM +0000,13,FDNY,,126463,BOWNE HOUSE
0,POINT (-73.86118277619101 40.75725207999355),,177488,2,956,7,4042761,4,05/14/2009 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,4,DoITT,,47963,LOUIS ARMSTRONG RECREATION CENTER
413,POINT (-73.80435829629906 40.652628492249505),X,169934,2,1016555,4,4542183,4,10/25/2012 12:00:00 AM +0000,11/02/2012 12:00:00 AM +0000,6,OTHER,49754069,0,JFK BLDG 9
413,POINT (-73.79115936031961 40.65346553114829),X,58307,2,1016556,4,4542184,4,10/25/2012 12:00:00 AM +0000,11/01/2012 12:00:00 AM +0000,6,OTHER,49754063,0,JFK BLDG 81
350,POINT (-73.91315654253522 40.85319220333249),G,111555,1,17304,3,0,2,05/14/2009 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,1,NYCHA,21185001,0,UNIVERSITY AVENUE REHAB
0,POINT (-73.9612358084347 40.681650393849054),,29347,1,9005,4,3057658,3,05/14/2009 12:00:00 AM +0000,03/04/2015 12:00:00 AM +0000,2,NYPD,,3073084,BETH EL ELM SCHOOL
413,POINT (-73.79978065191135 40.64465561182196),X,58259,2,1016565,4,4542204,4,10/25/2012 12:00:00 AM +0000,10/23/2015 12:00:00 AM +0000,6,OTHER,49754070,0,JFK BLDG 90
2429,POINT (-74.11853430684127 40.63470283800384),G,9005346,2,13085,3,0,5,05/14/2009 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,1,NYCHA,51103501,0,WEST BRIGHTON II PLAZA
0,POINT (-73.86126258528017 40.757597812372495),,83448,2,14922,7,4311969,4,05/14/2009 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,4,DoITT,,47961,LOUIS ARMSTRONG COMMUNITY CENTER
2245,POINT (-73.9420982737507 40.704690535915866),X,9004767,1,1015444,3,3400483,3,09/07/2012 12:00:00 AM +0000,04/10/2017 12:00:00 AM +0000,1,OTHER,32055019,9120087,BORINQUEN PLAZA GARAGE
413,POINT (-73.80272035510094 40.646357589835254),X,54536,2,1016584,4,4542211,4,10/25/2012 12:00:00 AM +0000,11/01/2012 12:00:00 AM +0000,6,OTHER,49754072,0,JFK BLDG 95
167,POINT (-74.0042758449557 40.744120386420235),X,9001767,1,8205,3,1078445,1,05/14/2009 12:00:00 AM +0000,02/12/2013 12:00:00 AM +0000,1,DCP,13066010,1015816,FULTON HOUSES BUILDING 9
0,POINT (-73.74207417650864 40.72243342233703),,100508,2,16667,2,4227031,4,05/14/2009 12:00:00 AM +0000,04/20/2017 12:00:00 AM +0000,5,DoITT,,253211,REDEEMER LUTHERAN NURSERY SCHOOL
0,POINT (-74.01149923634293 40.71785613462954),,31539,,16472,3,1083243,1,05/14/2009 12:00:00 AM +0000,07/20/2012 12:00:00 AM +0000,5,DoITT,,0,CC INDEPENDANCE PLAZA SENIOR PROGRAM
0,POINT (-73.76304329341292 40.75104880285926),,156451,2,1020964,1,0,4,07/11/2013 12:00:00 AM +0000,07/11/2013 12:00:00 AM +0000,4,OTHER,,0,BELL MALLS
0,POINT (-74.00548239611688 40.713357025127635),,23408,1,1869,1,1079146,1,05/14/2009 12:00:00 AM +0000,07/20/2012 12:00:00 AM +0000,13,EMS,,1001388,TAMMANY COURTHSE
0,POINT (-73.90217757419698 40.82748208171589),,78274,2,10676,4,2101244,2,05/14/2009 12:00:00 AM +0000,03/04/2015 12:00:00 AM +0000,2,NYPD,,2008910,RT HUDSON ELEMENTARY SCHOOL
0,POINT (-73.9719754845408 40.78951469928801),N,9002791,1,442,9,0,1,05/14/2009 12:00:00 AM +0000,04/20/2017 12:00:00 AM +0000,4,DoITT,11258501,0,ST GREGORYS PARK
0,POINT (-73.85158255292899 40.89701177909885),,89367,2,3934,1,2069992,2,05/14/2009 12:00:00 AM +0000,04/20/2017 12:00:00 AM +0000,9,EMS,,2078315,REDEEMER LUTH CHUR
413,POINT (-73.78227466624303 40.66081756716733),X,170884,2,1016747,4,4542289,4,11/02/2012 12:00:00 AM +0000,10/26/2015 12:00:00 AM +0000,6,OTHER,49754047,0,JFK BLDG 6
413,POINT (-73.79900929516816 40.64658759912182),X,170680,2,1016705,4,4542245,4,11/01/2012 12:00:00 AM +0000,10/26/2015 12:00:00 AM +0000,6,OTHER,49754033,0,JFK BLDG 206
413,POINT (-73.80904589033437 40.65190004630705),X,169893,2,1016746,4,4542288,4,11/02/2012 12:00:00 AM +0000,10/26/2015 12:00:00 AM +0000,6,OTHER,49754014,0,JFK BLDG 14
413,POINT (-73.7893711901817 40.64569089770734),X,284447,1,1027018,4,4000000,4,10/29/2015 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,6,FDNY,40031342,0,JFK BUILDING 34A
413,POINT (-73.80373131844311 40.65543123205237),X,169936,2,1016719,4,4542267,4,11/01/2012 12:00:00 AM +0000,10/26/2015 12:00:00 AM +0000,6,OTHER,49754005,0,JFK BLDG 10
0,POINT (-73.9134582277025 40.744138211823284),N,68050,2,16028,1,0,4,05/14/2009 12:00:00 AM +0000,11/22/2017 12:00:00 AM +0000,4,DPR,41355501,0,VINCENT DANIELS SQUARE
0,POINT (-73.91002275486878 40.65370736325438),,120777,1,1020985,4,3083021,3,07/12/2013 12:00:00 AM +0000,07/12/2013 12:00:00 AM +0000,10,OTHER,,3111058,BROWNSVILLE COMMUNITY RESIDENTIAL CENTER
532,POINT (-73.75261011715799 40.76433603907121),N,101314,1,1021004,5,0,4,07/12/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,12,OTHER,40015401,0,ALLEY CREEK
0,POINT (-73.99654904459304 40.73610179269746),,32629,1,5417,3,1009612,1,05/14/2009 12:00:00 AM +0000,07/20/2012 12:00:00 AM +0000,3,NYPD,,1012135,13 ST THEATRE
413,POINT (-73.80027489105359 40.661429302444645),X,169970,2,1016607,4,4542233,4,10/25/2012 12:00:00 AM +0000,10/26/2015 12:00:00 AM +0000,6,OTHER,49754049,0,JFK BLDG 67
0,POINT (-74.10386850887876 40.55453679484659),N,10891,1,1021005,5,0,5,07/12/2013 12:00:00 AM +0000,07/12/2013 12:00:00 AM +0000,12,OTHER,50006501,0,LOWER NEW YORK BAY
0,POINT (-74.22706868457412 40.50085400608596),N,800,1,1021006,5,0,5,07/12/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,12,OTHER,50007601,0,RARITAN BAY
0,POINT (-73.90097338597398 40.58766432368753),N,45866,1,1021024,5,0,3,07/12/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,12,OTHER,30022201,0,DEEP CREEK
0,POINT (-73.96098260334531 40.64496287697962),,28323,1,3341,1,3117615,3,05/14/2009 12:00:00 AM +0000,11/22/2017 12:00:00 AM +0000,9,NYPD,,3156533,UNITY EAST CHURCH CTR
0,POINT (-73.92085515665553 40.858891986433),N,274209,2,1021026,5,0,1,07/12/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,12,OTHER,10009601,0,SHERMANS CREEK
0,POINT (-73.92842818562542 40.60126017178018),N,40168,2,1021027,5,0,3,07/12/2013 12:00:00 AM +0000,07/12/2013 12:00:00 AM +0000,12,OTHER,30022301,0,MARINE PARK CRK
0,POINT (-73.85363792442325 40.56866336360161),N,9023485,2,1021044,5,0,4,07/12/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,12,OTHER,40015301,0,ATLANTIC OCEAN
0,POINT (-73.98451398840494 40.569526815900566),N,115057,2,1021045,5,0,3,07/12/2013 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,12,OTHER,30022601,0,ATLANTIC OCEAN
